授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
化学数学I（先端化学）,佐藤 徹・春田 直毅,2回生以上,後期,木1,工学部専門科目,理工化学科,
物理化学II（先端化学）,佐藤 啓文・水落 憲和・田中 隆行,3回生以上,前期,水1,工学部専門科目,理工化学科,
有機化学II（先端化学）,杉野目 道紀・深澤 愛子・仙波 一彦,3回生以上,前期,水2,工学部専門科目,理工化学科,
無機化学II（先端化学）［工化1・工化3］,安部 武志・大木 靖弘・松井 敏明・古川 修平・高津 浩・磯崎 勝弘・中田 明伸,3回生以上,前期,月2,工学部専門科目,理工化学科,
無機化学II（先端化学）［工化2・工化4］,安部 武志・大木 靖弘・松井 敏明・古川 修平・高津 浩・磯崎 勝弘・中田 明伸,3回生以上,前期,月2,工学部専門科目,理工化学科,
生化学I（先端化学）,三木 裕明・跡見 晴幸・高橋 重成・佐藤 喬章・船戸 洋佑・田村 朋則,3回生以上,前期,火1,工学部専門科目,理工化学科,
高分子化学概論I（先端化学）,生越 友樹,3回生以上,前期,木2,工学部専門科目,理工化学科,
有機化学III（先端化学）,近藤 輝幸・木村 祐・山本 武司,3回生以上,後期,火2,工学部専門科目,理工化学科,
物理化学III（先端化学）,東口 顕士・東野 智洋,3回生以上,後期,火1,工学部専門科目,理工化学科,
高分子化学概論II（先端化学）,梶 弘典・鈴木 克明,3回生以上,後期,水2,工学部専門科目,理工化学科,
化学統計力学（先端化学）,関 修平,4回生以上,前期,月2,工学部専門科目,理工化学科,
先端機器分析科学（先端化学）,作花 哲夫・萩中 淳・稲田 康宏・垣内 隆,4回生以上,前期,水2,工学部専門科目,理工化学科,
有機化学IV（先端化学）,村田 靖次郎・三木 康嗣,4回生以上,前期,金2,工学部専門科目,理工化学科,
先端化学実験I（先端化学）,藤原 哲晶,3回生以上,前期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,
先端化学実験II（先端化学）,藤原 哲晶,3回生以上,後期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,
無機化学III（先端化学）,陰山 洋・高井 茂臣・水落 憲和・高津 浩,3回生以上,後期,金1,工学部専門科目,理工化学科,
物理化学Ia（先端化学）,田中 隆行・井口 翔之,2回生以上,後期,水2,工学部専門科目,理工化学科,
物理化学Ib（先端化学）,関 修平,2回生以上,後期,木2,工学部専門科目,理工化学科,
科学英語（先端化学）［工化1・工化3］,高橋 重成・三木 康嗣・John Pryce・田中 隆行,3回生以上,後期,月3,工学部専門科目,理工化学科,
科学英語（先端化学）［工化2・工化4］,高橋 重成・三木 康嗣・John Pryce・田中 隆行,3回生以上,後期,月4,工学部専門科目,理工化学科,
分析化学II（先端化学）,安部 武志・梶 弘典・西 直哉・田村 朋則・横山 悠子,3回生以上,前期,火2,工学部専門科目,理工化学科,
理工化学概論,河瀬 元明・安部 武志・大北 英生・藤田 晃司・阿部 竜・石田 直樹・大宮 寛久・沼田 圭司・三木 裕明・水落 憲和・野中 洋・杉野目 道紀・佐々木 善浩・外輪 健一郎,1回生以上,前期,水1,工学部専門科目,理工化学科,
特別研究（H18年以降入学者）,生越 友樹,4回生以上,通年集中,集中講義,工学部専門科目,理工化学科,
工業数学B1（T1・T2）,原田 英治,2回生以上,後期,水5,工学部専門科目,地球工学科,
工業数学B1（T3・T4）,西藤 潤,2回生以上,後期,金3,工学部専門科目,地球工学科,
工学倫理,石田 泰一郎・泉田 啓・河瀬 元明・河原 達也・伊勢田 哲治・立場 貴文・藤本 仁・藤原 哲晶・鈴木 基史・市川 温・浦山 健治・金多 隆・川那辺 洋・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,
工学序論,冨島 義幸・村上 定義・藤原 拓・加嶋 健司・吉井 和佳・木谷 哲夫・佐野 紀彰・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー I (企業調査研究),石塚 師也,2回生以上,通年集中,集中講義,工学部専門科目,,
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充,2回生以上,後期集中,集中講義,工学部専門科目,,
確率統計解析及び演習(T1),亀田 貴之・大下 和徹,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,
確率統計解析及び演習(T2),藤見 俊夫,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,
確率統計解析及び演習(T3),小林 草平,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,
確率統計解析及び演習(T4),廣井 慧,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,
構造力学Ｉ及び演習,北根 安雄,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,
構造力学Ｉ及び演習,八木 知己,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,
構造力学Ｉ及び演習,松宮 央登,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,
構造力学Ｉ及び演習,古川 愛子,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,
一般力学(T1・T2),松宮 央登,2回生以上,前期,月2,工学部専門科目,地球工学科,
一般力学(T3・T4),林 為人・石塚 師也,2回生以上,前期,月4,工学部専門科目,地球工学科,
環境生物・化学,越後 信哉・浅田 安廣,2回生以上,後期,火1,工学部専門科目,地球工学科,
材料学,山本 貴士・高谷 哲,3回生以上,前期,月2,工学部専門科目,地球工学科,
コンクリート工学,高橋 良和・山本 貴士・高谷 哲,3回生以上,後期,金2,工学部専門科目,地球工学科,
水文学基礎,市川 温・立川 康人・佐山 敬洋・山口 弘誠・萬 和明,3回生以上,前期,火5,工学部専門科目,地球工学科,
水資源工学,立川 康人・堀 智晴・KIM，SUNMIN,3回生以上,後期,水2,工学部専門科目,地球工学科,
社会システム計画論,多々納 裕一・藤見 俊夫・松田 曜子,3回生以上,前期,木1,工学部専門科目,地球工学科,
都市・地域計画,松中 亮治・西垣 友貴,3回生以上,後期,月4,工学部専門科目,地球工学科,
水質学,西村 文武・藤原 拓・田中 周平,3回生以上,前期,月2,工学部専門科目,地球工学科,
上水道工学,伊藤 禎彦・越後 信哉・中西 智宏,3回生以上,後期,月2,工学部専門科目,地球工学科,
下水道工学,西村 文武・藤原 拓・日髙 平・竹内 悠・野村 洋平,3回生以上,後期,月1,工学部専門科目,地球工学科,
放射線衛生工学,島田 洋子・池上 麻衣子,3回生以上,前期,火2,工学部専門科目,地球工学科,
廃棄物工学,高岡 昌輝・平井 康宏・矢野 順也,3回生以上,後期,月3,工学部専門科目,地球工学科,
環境装置工学,高岡 昌輝・大下 和徹・原田 浩希,3回生以上,前期,水2,工学部専門科目,地球工学科,
分離工学,袴田 昌高・日下 英史,3回生以上,後期,木1,工学部専門科目,地球工学科,
公共経済学,大西 正光・中尾 聡史,3回生以上,前期,木2,工学部専門科目,地球工学科,
材料実験,山本 貴士・高谷 哲・植村 佳大,4回生以上,前期,"月3,4",工学部専門科目,地球工学科,
水理実験,市川 温・後藤 仁志・立川 康人・原田 英治・川池 健司・山上 路生・森 信人・五十里 洋行・音田 慎一郎・志村 智也・田中 智大・山野井 一輝・萬 和明・田(cid:8443) 拓海・普神 素良・小柴 孝太・仲 ゆかり・松本 知将・宮下 卓也・山田 真史,3回生以上,後期,"木3,4",工学部専門科目,地球工学科,
建築工学概論<地球>,荒木 慶一・聲高 裕治・松島 信一・谷 昌典,4回生以上,後期,月1,工学部専門科目,建築学科,
土質力学II及び演習,肥後 陽介・渦岡 良介・菊本 統・橋本 涼太,3回生以上,前期,"水1,2",工学部専門科目,地球工学科,
波動・振動学,五十嵐 晃・後藤 浩之,3回生以上,前期,月3,工学部専門科目,地球工学科,
連続体の力学,後藤 仁志・肥後 陽介・田(cid:8443) 拓海,3回生以上,前期,火3,工学部専門科目,地球工学科,
計画システム分析及び演習,大庭 哲治・藤井 聡・川端 祐一郎・藤見 俊夫・小幡 敏也・田中 皓介,2回生以上,後期,"月1,2",工学部専門科目,地球工学科,
土質実験及び演習,岸田 潔・渦岡 良介・後藤 浩之・岩井 裕正・澤村 康生・高井 敦史・橋本 涼太・上田 恭平・加藤 智大・LU Zirui・Yu Rongguang,3回生以上,前期,"水3,4",工学部専門科目,地球工学科,
大気・地球環境工学,藤森 真一郎・森 翔太郎,3回生以上,前期,月1,工学部専門科目,地球工学科,
環境工学実験1,西村 文武・藤原 拓・田中 周平・日髙 平・竹内 悠・野村 洋平・宇楊 再治・周 心怡,3回生以上,前期,"月3,4,5",工学部専門科目,地球工学科,
先端資源エネルギー工学,小池 克明・浜 孝之・林 為人・福山 英一・藤本 仁・馬渕 守・村田 澄彦・奈良 禎太・保田 尚俊,3回生以上,後期,金3,工学部専門科目,地球工学科,
学外実習(土木工学コース),岩井 裕正・松宮 央登,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,
学外実習(環境工学コース),浅田 安廣,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,
空間情報学,須崎 純一・畑山 満則,3回生以上,後期,木2,工学部専門科目,地球工学科,
構造実験・解析演習,北根 安雄・古川 愛子・五十嵐 晃・後藤 浩之・西藤 潤・松宮 央登・植村 佳大・佐藤 顕彦・野口 恭平・松本 理佐,3回生以上,後期,"金4,5",工学部専門科目,地球工学科,
耐震・耐風・設計論,北根 安雄・高橋 良和・八木 知己・後藤 浩之・野口 恭平・松本 理佐,3回生以上,後期,金3,工学部専門科目,地球工学科,
地盤環境工学,勝見 武・渦岡 良介,3回生以上,後期,火2,工学部専門科目,地球工学科,
交通マネジメント工学,藤井 聡・山田 忠史・川端 祐一郎・田中 皓介,3回生以上,後期,月3,工学部専門科目,地球工学科,
環境工学実験2,亀田 貴之・島田 洋子・高岡 昌輝・池上 麻衣子・大下 和徹・原田 浩希・山本 浩平・土屋 望・安井 碧・本間 亮介,3回生以上,後期,"火3,4,5",工学部専門科目,地球工学科,
波動工学,武川 順一・吉光 奈奈,3回生以上,後期,月4,工学部専門科目,地球工学科,
熱流体工学,藤本 仁,3回生以上,後期,金2,工学部専門科目,地球工学科,
土質力学Ｉ及び演習,勝見 武・岸田 潔・肥後 陽介・安原 英明・菊本 統・岩井 裕正・高井 敦史・橋本 涼太・上田 恭平,2回生以上,後期,"火3,4",工学部専門科目,地球工学科,
都市景観デザイン,川崎 雅史・山口 敬太・谷川 陸,3回生以上,後期,"火3,4",工学部専門科目,地球工学科,
構造力学II及び演習(A班),高橋 良和,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,
構造力学II及び演習(B班),西藤 潤,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,
構造力学II及び演習(C班),五十嵐 晃,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,
流体力学,藤本 仁,3回生以上,前期,月3,工学部専門科目,地球工学科,
物理化学,馬渕 守,3回生以上,前期,水3,工学部専門科目,地球工学科,
工業数学B2(土木工学コース),古川 愛子,3回生以上,前期,金1,工学部専門科目,地球工学科,
工業数学B2(資源工学コース),保田 尚俊,3回生以上,前期,火2,工学部専門科目,地球工学科,
岩盤工学(土木工学コース),岸田 潔・安原 英明・橋本 涼太,3回生以上,後期,火1,工学部専門科目,地球工学科,
岩盤工学(資源工学コース),林 為人・奈良 禎太・保田 尚俊,3回生以上,後期,火2,工学部専門科目,地球工学科,
材料と塑性,浜 孝之・馬渕 守,3回生以上,後期,月3,工学部専門科目,地球工学科,
社会基盤デザインＩ,宇野 伸宏・後藤 仁志・高橋 良和・澤村 康生・山口 敬太,2回生以上,前期,木2,工学部専門科目,地球工学科,
